"ACCOUNT_KEY","TYPE","LOCATION","PAYMENT"
9000213952,"Customer","Germany -> Central Europe -> East",161
9000094808,"Customer","Belgium -> BeLux -> North",57.5
9000194165,"Customer","Germany -> Central Europe -> East",57.5
9000117266,"Customer","Poland -> Eastern Europe -> East",57.5
9000058052,"Customer","Germany -> Central Europe -> East",161
9000067224,"Customer","Germany -> Central Europe -> East",161
9000026424,"Customer","Germany -> Central Europe -> East",161
9000018738,"Customer","Netherlands -> Netherlands -> North",57.5
9000040677,"Customer","Netherlands -> Netherlands -> North",57.5
9000075448,"Customer","Belgium -> BeLux -> North",115
9000159727,"Customer","Poland -> Eastern Europe -> East",57.5
9000009882,"Customer","Belgium -> BeLux -> North",345
9000182994,"Customer","France -> France International -> West",345
9000215574,"Customer","Germany -> Central Europe -> East",57.5
9000188049,"Customer","Belgium -> BeLux -> North",57.5
9000003033,"Customer","",345
9000137318,"Customer","Germany -> Central Europe -> East",161
9000086886,"Customer","France -> France International -> West",57.5
9000072483,"Customer","Netherlands -> Netherlands -> North",322
9000120221,"Customer","Czech Republic -> Eastern Europe -> East",241.5
9000033153,"Customer","Netherlands -> Netherlands -> North",57.5
9000209605,"Customer","France -> France International -> West",345
9000213316,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000070172,"Customer","Germany -> Central Europe -> East",161
9000190666,"Customer","Germany -> Central Europe -> East",161
9000097694,"Customer","France -> France International -> West",345
9000060614,"Customer","Poland -> Eastern Europe -> East",241.5
9000169807,"Customer","Germany -> Central Europe -> East",161
9000164168,"Customer","Germany -> Central Europe -> East",161
9000029859,"Customer","Germany -> Central Europe -> East",345
9000144839,"Customer","France -> France International -> West",57.5
9000198619,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000087437,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000123198,"Customer","Netherlands -> Netherlands -> North",161
9000176462,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000152416,"Customer","Germany -> Central Europe -> East",57.5
9000044312,"Customer","Germany -> Central Europe -> East",161
9000003280,"Customer","France -> France International -> West",345
9000005148,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000067872,"Customer","Poland -> Eastern Europe -> East",241.5
9000084220,"Customer","Portugal -> Teleroute Iberica -> South",57.5
9000066924,"Customer","",57.5
9000158948,"Customer","Italy -> South East Europe -> South",345
9000002411,"Customer","Italy -> South East Europe -> South",57.5
9000067742,"Customer","Switzerland DE -> Central Europe -> East",57.5
9000107810,"Customer","",57.5
9000001779,"Customer","Austria -> Central Europe -> East",57.5
9000088026,"Customer","France -> France International -> West",517.5
9000145153,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000031015,"Customer","Finland -> Nordics -> North",57.5
9000102991,"Customer","Spain -> Teleroute Iberica -> South",172.5
9000156367,"Customer","Poland -> Eastern Europe -> East",57.5
9000130143,"Customer","Bulgaria -> Eastern Europe -> East",57.5
9000105363,"Customer","Germany -> Central Europe -> East",161
9000212929,"Customer","Germany -> Central Europe -> East",161
9000208496,"Customer","Netherlands -> Netherlands -> North",322
9000007290,"Customer","France -> France International -> West",517.5
9000024191,"Customer","France -> France International -> West",517.5
9000117219,"Customer","Germany -> Central Europe -> East",161
9000079518,"Customer","Portugal -> Teleroute Iberica -> South",172.5
9000038991,"Customer","France -> France International -> West",57.5
9000032881,"Customer","Poland -> Eastern Europe -> East",57.5
9000085659,"Customer","Belgium -> BeLux -> North",57.5
9000000623,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000143691,"Customer","Germany -> Central Europe -> East",161
9000181942,"Customer","France -> France International -> West",517.5
9000069597,"Customer","Germany -> Central Europe -> East",161
9000155655,"Customer","Netherlands -> Netherlands -> North",322
9000095609,"Customer","Italy -> South East Europe -> South",57.5
9000103597,"Customer","Germany -> Central Europe -> East",161
9000159717,"Customer","Bulgaria -> Eastern Europe -> East",57.5
9000114793,"Customer","Germany -> Central Europe -> East",57.5
9000127427,"Customer","Germany -> Central Europe -> East",161
9000199587,"Customer","Poland -> Eastern Europe -> East",57.5
9000127629,"Customer","Belgium -> BeLux -> North",115
9000164760,"Customer","Spain -> Teleroute Iberica -> South",57.5
9000115112,"Customer","Germany -> Central Europe -> East",57.5
9000160216,"Customer","Italy -> South East Europe -> South",345
9000182648,"Customer","Poland -> Eastern Europe -> East",241.5
9000104412,"Customer","France -> France International -> West",517.5
9000122374,"Customer","Ireland -> Great Britain -> North",345
